token,kind,count
30G,ALNUM,3
TV,ALPHA,3
T790M,ALNUM,3
VP16,ALNUM,3
D11,ALNUM,3
GIRLS,ALPHA,3
GRE,ALPHA,3
PARTY,ALPHA,3
WANT,ALPHA,3
NEC,ALPHA,3
16CM,ALNUM,3
IN77A,ALNUM,3
D41,ALNUM,3
12G,ALNUM,3
YS,ALPHA,3
8H,ALNUM,3
CRT,ALPHA,3
FI,ALPHA,3
ANGEL,ALPHA,2
VIA,ALPHA,2
27G,ALNUM,2
RBG,ALPHA,2
ROUTINE,ALPHA,2
5TH,ALNUM,2
9HE4,ALNUM,2
DEMON,ALPHA,2
9G,ALNUM,2
HOOK,ALPHA,2
DAY47,ALNUM,2
60ML,ALNUM,2
WAS,ALPHA,2
IBO,ALPHA,2
DAY88,ALNUM,2
CELEBRATE,ALPHA,2
PUMA,ALPHA,2
STRESS,ALPHA,2
CONSCIOUS,ALPHA,2
4F,ALNUM,2
SRT,ALPHA,2
DAY130,ALNUM,2
1440ML,ALNUM,2
ALONE,ALPHA,2
DATING,ALPHA,2
FATE,ALPHA,2
COLON,ALPHA,2
TRUTH,ALPHA,2
HCO3,ALNUM,2
WEEK,ALPHA,2
19G,ALNUM,2
00AM,ALNUM,2
MARTY,ALPHA,2
5A,ALNUM,2
BABE,ALPHA,2
DAY131,ALNUM,2
8G,ALNUM,2
FEELINGS,ALPHA,2
EMOJI,ALPHA,2
1C2,ALNUM,2
DEATH,ALPHA,2
DAY41,ALNUM,2
IC,ALPHA,2
TUT,ALPHA,2
SUMMER,ALPHA,2
IDEA,ALPHA,2
SUI,ALPHA,2
GRANDMA,ALPHA,2
55KG,ALNUM,2
MAKE,ALPHA,2
DAUGHTER,ALPHA,2
DAY63,ALNUM,2
4KM,ALNUM,2
DL,ALPHA,2
ALICIA,ALPHA,2
EVER,ALPHA,2
DAY98,ALNUM,2
2ML,ALNUM,2
PEOPLE,ALPHA,2
CHAI,ALPHA,2
LIGHT,ALPHA,2
MORA,ALPHA,2
DQ,ALPHA,2
25MM,ALNUM,2
THEM,ALPHA,2
DUI,ALPHA,2
DAY53,ALNUM,2
CIN3,ALNUM,2
SOCIAL,ALPHA,2
FUTURE,ALPHA,2
DAY52,ALNUM,2
17CM,ALNUM,2
T4N0M0,ALNUM,2
3ML,ALNUM,2
FS,ALPHA,2
LK,ALPHA,2
BEEN,ALPHA,2
WTM,ALPHA,2
NIU,ALPHA,2
70MG,ALNUM,2
WRONG,ALPHA,2
DAI,ALPHA,2
CRYING,ALPHA,2
HUQ,ALPHA,2
NIUNIU,ALPHA,2
ZH,ALPHA,2
IC1,ALNUM,2
DAY28,ALNUM,2
BOY,ALPHA,2
DAY48,ALNUM,2
0K,ALNUM,2
MUA,ALPHA,2
JIA,ALPHA,2
REMEMBER,ALPHA,2
OPPO,ALPHA,2
7M,ALNUM,2
4ML,ALNUM,2
PB,ALPHA,2
C199,ALNUM,2
3H,ALNUM,2
SEKARANG,ALPHA,2
LEGEND,ALPHA,2
KIMI,ALPHA,2
BIA,ALPHA,2
G1,ALNUM,2
JG,ALPHA,2
SP,ALPHA,2
T3N1M0,ALNUM,2
SAME,ALPHA,2
DAY65,ALNUM,2
SABATERE,ALPHA,2
3HE4,ALNUM,2
DAY75,ALNUM,2
SEVEN,ALPHA,2
PIG,ALPHA,2
SCC1,ALNUM,2
DAY80,ALNUM,2
OVER2,ALNUM,2
TSH10,ALNUM,2
TG140,ALNUM,2
180MG,ALNUM,2
YAIC,ALPHA,2
TRIP,ALPHA,2
1800ML,ALNUM,2
I0,ALNUM,2
SENIOR,ALPHA,2
CD30,ALNUM,2
TOM,ALPHA,2
HEMOHIM,ALPHA,2
OW,ALPHA,2
NICK,ALPHA,2
TAIDI,ALPHA,2
PROFESSOR,ALPHA,2
BACKSTREET,ALPHA,2
KGET,ALPHA,2
DLL3,ALNUM,2
DAY39,ALNUM,2
P2P,ALNUM,2
55KM,ALNUM,2
CT11,ALNUM,2
JUDGE,ALPHA,2
MEETING,ALPHA,2
BOYS,ALPHA,2
30CT,ALNUM,2
ICU95,ALNUM,2
72KG,ALNUM,2
NAI,ALPHA,2
DAY57,ALNUM,2
300MG,ALNUM,2
CDK4,ALNUM,2
DAY330,ALNUM,2
KT,ALPHA,2
45CM,ALNUM,2
ZHAO,ALPHA,2
BK,ALPHA,2
P8,ALNUM,2
HOUSE,ALPHA,2
NANA,ALPHA,2
PETCET,ALPHA,2
PT1,ALNUM,2
DAY331,ALNUM,2
REJEAN,ALPHA,2
GUI,ALPHA,2
JIN,ALPHA,2
3KG,ALNUM,2
WINTER,ALPHA,2
10TH,ALNUM,2
30MIN,ALNUM,2
SHOCK,ALPHA,2
FF14,ALNUM,2
DAY90,ALNUM,2
9H,ALNUM,2
DAY93,ALNUM,2
LN,ALPHA,2
BAR,ALPHA,2
BUSY,ALPHA,2
50KG,ALNUM,2
JUMP,ALPHA,2
BERBER,ALPHA,2
BING,ALPHA,2
MODEL,ALPHA,2
D5,ALNUM,2
125MG,ALNUM,2
GUO,ALPHA,2
ZICO,ALPHA,2
STORY,ALPHA,2
KPL,ALPHA,2
D83,ALNUM,2
ATTENDING,ALPHA,2
D77,ALNUM,2
GAN,ALPHA,2
ARGUE,ALPHA,2
3L,ALNUM,2
KRIS,ALPHA,2
12W,ALNUM,2
LYF,ALPHA,2
DAY310,ALNUM,2
LAWRENCE,ALPHA,2
ANNE,ALPHA,2
ZBS,ALPHA,2
YENA,ALPHA,2
DAISY,ALPHA,2
FANG,ALPHA,2
LIEGE,ALPHA,2
PETE,ALPHA,2
LIHUA,ALPHA,2
CA50,ALNUM,2
FRAMED,ALPHA,2
CELLS,ALPHA,2
BUSWIFT,ALPHA,2
NJZ,ALPHA,2
BRUNCH,ALPHA,2
SVIP,ALPHA,2
BRIAN,ALPHA,2
B3,ALNUM,2
WCWCWC,ALPHA,2
YOURS,ALPHA,2
PHD,ALPHA,2
D7,ALNUM,2
MZI,ALPHA,2
KAREN,ALPHA,2
COLE,ALPHA,2
KOITZSCH,ALPHA,2
L3,ALNUM,2
CHECKING,ALPHA,2
ABU,ALPHA,2
DAN,ALPHA,2
ZUI,ALPHA,2
10D,ALNUM,2
EGFR20,ALNUM,2
TYR,ALPHA,2
3KM,ALNUM,2
D37,ALNUM,2
WQ,ALPHA,2
40MIN,ALNUM,2
UPDATE,ALPHA,2
WYH,ALPHA,2
DJP,ALPHA,2
3TMR,ALNUM,2
D55,ALNUM,2
RC,ALPHA,2
DAY29,ALNUM,2
HIAHIAHIA2,ALNUM,2
YUNA,ALPHA,2
T3NOMO,ALNUM,2
HARVEY,ALPHA,2
IZ,ALPHA,2
D26,ALNUM,2
YUHUA,ALPHA,2
PUB,ALPHA,2
NORM,ALPHA,2
2CN,ALNUM,2
LUCIA,ALPHA,2
AL,ALPHA,2
D40,ALNUM,2
D117,ALNUM,2
32W,ALNUM,2
ANNA,ALPHA,2
MAO,ALPHA,2
D126,ALNUM,2
D129,ALNUM,2
HN,ALPHA,2
ER8,ALNUM,2
IRIS,ALPHA,2
IFTY,ALPHA,2
BEV,ALPHA,2
D132,ALNUM,2
KL,ALPHA,2
LMZ,ALPHA,2
D134,ALNUM,2
TK1,ALNUM,2
MJ,ALPHA,2
PR15,ALNUM,2
FY,ALPHA,2
D82,ALNUM,2
17B,ALNUM,2
TARGET,ALPHA,2
RIGHT,ALPHA,2
TEACHER,ALPHA,2
WITHOUT,ALPHA,2
PAINS,ALPHA,2
DC,ALPHA,2
D112,ALNUM,2
D114,ALNUM,2
LGR,ALPHA,2
AFTER,ALPHA,2
43KG,ALNUM,2
CJ,ALPHA,2
ZL,ALPHA,2
1S,ALNUM,2
DARA,ALPHA,2
ECMO,ALPHA,2
PETRICHOR,ALPHA,2
BTS,ALPHA,2
LUCAS,ALPHA,2
BEFORE,ALPHA,2
89CM,ALNUM,2
HBVDNA,ALPHA,2
PORTOS,ALPHA,2
BUN,ALPHA,2
D139,ALNUM,2
70G,ALNUM,2
SAMANTHA,ALPHA,2
11G,ALNUM,2
5H,ALNUM,2
100M,ALNUM,2
LEFT,ALPHA,2
GRATEFUL,ALPHA,2
SMILE,ALPHA,2
CEO,ALPHA,2
PROJECT,ALPHA,2
ALKP,ALPHA,2
D140,ALNUM,2
D141,ALNUM,2
47KG,ALNUM,2
TG5,ALNUM,2
REGRET,ALPHA,2
D144,ALNUM,2
D146,ALNUM,2
CD20,ALNUM,2
NINA,ALPHA,2
ZHU,ALPHA,2
PANDA,ALPHA,2
ALB,ALPHA,2
D156,ALNUM,2
D130,ALNUM,2
ANGELA,ALPHA,2
DAY34,ALNUM,2
ZU,ALPHA,2
DBS,ALPHA,2
C1,ALNUM,2
LUMAKRAS,ALPHA,2
5FU,ALNUM,2
D104,ALNUM,2
JDT,ALPHA,2
JESUS,ALPHA,2
WANMEI,ALPHA,2
2L,ALNUM,2
D107,ALNUM,2
80ML,ALNUM,2
TK,ALPHA,2
D19,ALNUM,2
40KG,ALNUM,2
ENOUGH,ALPHA,2
D27,ALNUM,2
D33,ALNUM,2
30MMHG,ALNUM,2
CHAYANNE,ALPHA,2
50MIN,ALNUM,2
MCT,ALPHA,2
ZAI,ALPHA,2
CEA8,ALNUM,2
LALA,ALPHA,2
MEME,ALPHA,2
NELSON,ALPHA,2
K67,ALNUM,2
DEI,ALPHA,2
LMQ,ALPHA,2
1P19Q,ALNUM,2
CEA2,ALNUM,2
DEAUVILLE,ALPHA,2
14KG,ALNUM,2
10K,ALNUM,2
L4,ALNUM,2
DESERVE,ALPHA,2
100MGK,ALNUM,2
FC,ALPHA,2
GR,ALPHA,2
KAI,ALPHA,2
200MG10,ALNUM,2
8G30,ALNUM,2
ZYW,ALPHA,2
D87,ALNUM,2
SN,ALPHA,2
D89,ALNUM,2
SAGE,ALPHA,2
SIF,ALPHA,2
GIGI,ALPHA,2
D90,ALNUM,2
N1,ALNUM,2
LJ,ALPHA,2
D95,ALNUM,2
D99,ALNUM,2
YOGA,ALPHA,2
ZHENZHU,ALPHA,2
UR,ALPHA,2
D42,ALNUM,2
WL,ALPHA,2
D17,ALNUM,2
APTT,ALPHA,2
ZUOJIA,ALPHA,2
NVER,ALPHA,2
IP,ALPHA,2
D51,ALNUM,2
NO5,ALNUM,2
78MMHG,ALNUM,2
D54,ALNUM,2
D29,ALNUM,2
D58,ALNUM,2
ZB,ALPHA,2
D65,ALNUM,2
D68,ALNUM,2
D73,ALNUM,2
NO1,ALNUM,2
D25,ALNUM,2
CHS,ALPHA,2
HCT,ALPHA,2
MARBOCYL,ALPHA,2
LIAO,ALPHA,2
JIE,ALPHA,2
CLEAR,ALPHA,2
LOF,ALPHA,2
COMFORT,ALPHA,2
MDR,ALPHA,2
DONE,ALPHA,2
GIAO,ALPHA,2
HUHU,ALPHA,2
K11,ALNUM,2
EF,ALPHA,2
2500ML,ALNUM,2
20G,ALNUM,2
FIONA,ALPHA,2
70S,ALNUM,2
DAY183,ALNUM,2
STRONGER,ALPHA,2
MEAN,ALPHA,2
TOTALLY,ALPHA,2
MALL,ALPHA,2
GOODBYE,ALPHA,2
WINDOWS,ALPHA,2
TY,ALPHA,2
VER,ALPHA,2
YEAR5,ALNUM,2
ORR,ALPHA,2
THREE,ALPHA,2
BIBIBI,ALPHA,2
DID,ALPHA,2
32MM,ALNUM,2
1000M,ALNUM,2
JHU89,ALNUM,2
SAM,ALPHA,2
DIP,ALPHA,2
AIRPODS,ALPHA,2
1A3,ALNUM,2
OHSUNNY,ALPHA,2
FAUN,ALPHA,2
TNM,ALPHA,2
REN,ALPHA,2
JEFF,ALPHA,2
MV,ALPHA,2
EOM,ALPHA,2
YIQING,ALPHA,2
INHIBITOR,ALPHA,2
EDGE,ALPHA,2
KUBO,ALPHA,2
LILI,ALPHA,2
22W,ALNUM,2
NKT,ALPHA,2
TL,ALPHA,2
STYLE,ALPHA,2
27MM,ALNUM,2
YE,ALPHA,2
47MM,ALNUM,2
43MM,ALNUM,2
2AMERICAN,ALNUM,2
CAL,ALPHA,2
1W2,ALNUM,2
YR,ALPHA,2
GAI,ALPHA,2
OKAY,ALPHA,2
40MM,ALNUM,2
WAY,ALPHA,2
PAMELA,ALPHA,2
BYEBYE,ALPHA,2
T1B,ALNUM,2
BUIBUI,ALPHA,2
BUILDJAKAPAN,ALPHA,2
SAFE,ALPHA,2
BD,ALPHA,2
TCB,ALPHA,2
OP,ALPHA,2
BULA,ALPHA,2
BUCKET,ALPHA,2
LES,ALPHA,2
PM,ALPHA,2
SHINE,ALPHA,2
PENCIL,ALPHA,2
MADE,ALPHA,2
GIVE,ALPHA,2
DONT,ALPHA,2
TOP2,ALNUM,2
CALM,ALPHA,2
THURSDAY,ALPHA,2
TOP,ALPHA,2
RBC975,ALNUM,2
BASE,ALPHA,2
OFFICE,ALPHA,2
PIK3CA,ALNUM,2
PROTOCOL,ALPHA,2
YUMMY,ALPHA,2
8K,ALNUM,2
1M,ALNUM,2
DAY94,ALNUM,2
THINK,ALPHA,2
SHR,ALPHA,2
YOU2,ALNUM,2
SWEET,ALPHA,2
WULI,ALPHA,2
NA,ALPHA,2
EMA,ALPHA,2
MAI,ALPHA,2
4CM2022,ALNUM,2
CODMAN,ALPHA,2
HOSPITAL,ALPHA,2
HOME,ALPHA,2
OTL,ALPHA,2
DAY178,ALNUM,2
FUNNY,ALPHA,2
HONEY,ALPHA,2
RHA,ALPHA,2
HARTMANN,ALPHA,2
SITE,ALPHA,2
VISIT,ALPHA,2
CYCLE,ALPHA,2
GOT,ALPHA,2
VINTAGE,ALPHA,2
G3,ALNUM,2
I131,ALNUM,2
JZ,ALPHA,2
HEAR,ALPHA,2
GH,ALPHA,2
Y4M5D19,ALNUM,2
CK,ALPHA,2
NBN,ALPHA,2
NHS,ALPHA,2
1CM2023,ALNUM,2
800CC,ALNUM,2
2M,ALNUM,2
6KG,ALNUM,2
45MG,ALNUM,2
HYQ,ALPHA,2
AIRPORT,ALPHA,2
MMS2,ALNUM,2
103CM,ALNUM,2
LLC,ALPHA,2
PROMISE,ALPHA,2
IDH,ALPHA,2
35CM,ALNUM,2
MAFEI,ALPHA,2
DIOR,ALPHA,2
ALP,ALPHA,2
CS182,ALNUM,2
YESU,ALPHA,2
GNRH,ALPHA,2
SAVED,ALPHA,2
SHOPPING,ALPHA,2
FAPI,ALPHA,2
GOR,ALPHA,2
ABC,ALPHA,2
ZJ,ALPHA,2
JASON,ALPHA,2
WEIBO,ALPHA,2
FACE,ALPHA,2
DAY76,ALNUM,2
FA,ALPHA,2
DAY104,ALNUM,2
DRAMA,ALPHA,2
PIA,ALPHA,2
PM2,ALNUM,2
BID,ALPHA,2
1500KM,ALNUM,2
HUAIYUN,ALPHA,2
CHEER,ALPHA,2
AWAY,ALPHA,2
DAY68,ALNUM,2
UNCONDITIONAL,ALPHA,2
RUN,ALPHA,2
QD,ALPHA,2
BODY,ALPHA,2
BIUBIUBIU,ALPHA,2
BARRETT,ALPHA,2
TRY,ALPHA,2
64KG,ALNUM,2
HB,ALPHA,2
EVIE,ALPHA,2
ZY,ALPHA,2
DWI,ALPHA,2
PRO,ALPHA,2
L858R,ALNUM,2
BEAT,ALPHA,2
CRC,ALPHA,2
LVB,ALPHA,2
LUAN,ALPHA,2
LAN,ALPHA,2
HIA,ALPHA,2
DINNER,ALPHA,2
ZR,ALPHA,2
DAY56,ALNUM,2
PCA,ALPHA,2
SECOND,ALPHA,2
MMS1,ALNUM,2
GBS,ALPHA,2
MH370,ALNUM,2
BIUBIU,ALPHA,2
PPY,ALPHA,2
AFTERNOON,ALPHA,2
46MM,ALNUM,2
SUR29,ALNUM,2
31KEITH,ALNUM,2
EVEN,ALPHA,2
WINDOW,ALPHA,2
O7,ALNUM,2
HCO,ALPHA,2
HANDLE,ALPHA,2
9K,ALNUM,2
CY,ALPHA,2
PLANB,ALPHA,2
PECT,ALPHA,2
HOTEL,ALPHA,2
SHANGHAI,ALPHA,2
BIT,ALPHA,2
TEE,ALPHA,2
24K,ALNUM,2
RNA,ALPHA,2
DEEP,ALPHA,2
DAMN,ALPHA,2
AMELIE,ALPHA,2
MLGB,ALPHA,2
AKA,ALPHA,2
SANG,ALPHA,2
THEN,ALPHA,2
21G,ALNUM,2
RESEARCH,ALPHA,2
GRANDE,ALPHA,2
GROWING,ALPHA,2
23G,ALNUM,2
SERENA,ALPHA,2
INTP,ALPHA,2
FAP,ALPHA,2
NMLGB,ALPHA,2
SKR,ALPHA,2
PH,ALPHA,2
LH,ALPHA,2
WHIPPLE,ALPHA,2
FULL,ALPHA,2
ARIANA,ALPHA,2
ICHEL,ALPHA,2
POLE,ALPHA,2
SSR,ALPHA,2
YOUR,ALPHA,2
DESERVES,ALPHA,2
CLASS,ALPHA,2
24CM,ALNUM,2
FUFU,ALPHA,2
O19,ALNUM,2
WC,ALPHA,2
LOT,ALPHA,2
IDOL,ALPHA,2
TROCAR,ALPHA,2
FINGERS,ALPHA,2
DOG,ALPHA,2
BENIGN,ALPHA,2
INSHA,ALPHA,2
JONYJ,ALPHA,2
CG,ALPHA,2
DUCK,ALPHA,2
ED,ALPHA,2
M6,ALNUM,2
KIND,ALPHA,2
P3P4,ALNUM,2
M8,ALNUM,2
VV,ALPHA,2
GONNA,ALPHA,2
NBCS,ALPHA,2
IM,ALPHA,2
OA,ALPHA,2
THERE,ALPHA,2
IMAGE,ALPHA,2
BREAKING,ALPHA,2
MRA,ALPHA,2
PANG,ALPHA,2
PEICT,ALPHA,2
POLA,ALPHA,2
SPA,ALPHA,2
SURPRISE,ALPHA,2
DOTA,ALPHA,2
FIVE,ALPHA,2
GUYS,ALPHA,2
NOTHING,ALPHA,2
CARES,ALPHA,2
3C1,ALNUM,2
PBC,ALPHA,2
TD,ALPHA,2
FEIFEIBABY,ALPHA,2
SMALLANGRYMAN,ALPHA,2
MS,ALPHA,2
LE,ALPHA,2
VB1,ALNUM,2
QA,ALPHA,2
ITP,ALPHA,2
ZUO,ALPHA,2
D101,ALNUM,2
OTZ,ALPHA,2
COVID19,ALNUM,2
DAY115,ALNUM,2
35MM,ALNUM,2
SOMEHOW,ALPHA,2
BM,ALPHA,2
TRAB,ALPHA,2
1O,ALNUM,2
WHICH,ALPHA,2
ANLOTINIB,ALPHA,2
T8,ALNUM,2
MARS,ALPHA,2
KADOCYLA,ALPHA,2
CBCT,ALPHA,2
BROTHER,ALPHA,2
TRIGGER,ALPHA,2
SOON,ALPHA,2
GUCCI,ALPHA,2
PAT,ALPHA,2
ER90,ALNUM,2
WANDA,ALPHA,2
O1,ALNUM,2
IA2,ALNUM,2
EMMMMMM,ALPHA,2
GHS,ALPHA,2
HELLOVENUS,ALPHA,2
16MM,ALNUM,2
PDL,ALPHA,2
8A,ALNUM,2
NEED,ALPHA,2
IGA,ALPHA,2
U1S1,ALNUM,2
WIN,ALPHA,2
NAT,ALPHA,2
JAN,ALPHA,2
FAPIPET,ALPHA,2
PACU,ALPHA,2
